District,State,Literacy_Rate_pct,Sex_Ratio_Total,Birth_Registration_pct,Electricity_Access_pct,Improved_DrinkingWater_pct,Improved_Sanitation_pct,Clean_Fuel_Cooking_pct,Iodized_Salt_Use_pct,Health_Insurance_Coverage_pct,Women_Literate_pct,Child_Marriage_pct,Teenage_Pregnancy_pct,Hygienic_Menstrual_Protection_pct,Higher_Order_Births_pct,ANC_First_Trimester_pct,ANC_4plus_Visits_pct,Neonatal_Tetanus_Protection_pct,Iron_Folic_100days_pct,Iron_Folic_180days_pct,MCP_Card_Registered_pct,Postnatal_Care_Mother_pct,OOP_Expenditure_Public_Delivery_Rs,Institutional_Births_pct,Institutional_Births_Public_pct,Home_Birth_Skilled_Personnel_pct,Births_Skilled_Personnel_pct,Caesarean_Section_pct,Caesarean_Private_pct,Caesarean_Public_pct,Home_Birth_Facility_Checkup_24hr_pct,Postnatal_Care_Child_pct,Fully_Vaccinated_Card_Recall_pct,Fully_Vaccinated_Card_Only_pct,VitaminA_6to35mo_pct,Vaccinated_Public_Facility_pct,Vaccinated_Private_Facility_pct,ARI_Prevalence_pct,ARI_Fever_Facility_Visit_pct,Breastfed_Within_1hr_pct,Exclusive_Breastfed_6mo_pct,Solid_Food_6to8mo_pct,Adequate_Diet_Breastfed_6to23mo_pct,Adequate_Diet_NonBreastfed_6to23mo_pct,Adequate_Diet_Total_6to23mo_pct,Child_Stunting_pct,Child_Wasting_pct,Child_Severe_Wasting_pct,Child_Underweight_pct,Child_Overweight_pct,Child_Anaemia_6to59mo_pct,Women_NonPregnant_Anaemia_pct,Women_Pregnant_Anaemia_pct,Women_All_Anaemia_pct,Women_15to19_Anaemia_pct,Women_BMI_Below_Normal_pct,Women_HighBloodSugar_Mild_pct,Women_HighBloodSugar_VHigh_pct,Women_Diabetes_or_Medicine_pct,Men_HighBloodSugar_Mild_pct,Men_HighBloodSugar_VHigh_pct,Men_Diabetes_or_Medicine_pct,Women_Hypertension_Mild_pct,Men_Hypertension_Mild_pct,Women_Cervical_Cancer_Screening_pct,Women_Breast_Exam_pct,Women_Oral_Exam_pct
Thane,Maharashtra,84.53,948,71.91,87.98,60.78,44.18,44.53,55.84,48.69,52.21,49.82,46.81,58.88,45.72,32.09,55.42,65.37,44.47,30.99,52.93,44.44,2246,64.2,38.72,12.03,62.71,34.67,16.05,11.97,13.11,53.45,68.18,52.74,95,57.29,41.6,3.63,29.43,64.52,80.79,62.99,10.27,40.35,20.9,54.71,4.77,1,60,2.32,88.35,40.3,43.82,34.61,45.87,48.04,2.25,2.71,4.01,3.27,0.36,5.49,7.23,17.43,26.81,12.95,13.21
North Twenty Four Parganas,West Bengal,84.06,994,78.75,83.15,83.19,57.92,40.93,72.86,36.6,71.38,50.82,50,62.8,55,40.1,25.31,59.29,46.35,16.36,50.62,41.18,2064,66.81,29.38,3.13,86.2,39.95,35.1,7.58,21.16,18.61,46.26,43.81,21.25,70.33,29.15,10.57,41.1,49.2,23.53,80.02,26.97,24.01,39.06,41.11,8.76,3.24,60,4.92,82.89,61.23,26.77,44.17,47.32,45.57,3.41,5.73,18.06,6.51,5.73,17.26,0.57,15.88,16.56,19.99,11.78
Bangalore,Karnataka,87.67,955,70.49,80.24,83.69,60.49,32.52,90.35,6.91,77.82,37.84,50,61.7,48.67,53.53,71.03,74.88,42.19,11.81,57.49,52.51,2077,68.09,48.14,2,67.1,21.45,7.66,13.34,65.39,50.11,64.13,57.86,75.93,71.15,29.56,14.83,31,57.71,80.14,60.11,34.28,37.89,21.88,53.97,17.76,7.58,60,5.14,41.95,52.36,59.46,55.84,56.81,51.63,10.55,3.6,9.83,0.92,11.53,18.56,0.87,11.8,8.83,17.58,8.19
Pune,Maharashtra,86.15,956,60.79,84.12,72.34,65.79,52.09,73.96,73.89,60.94,70,50,73.77,55,47.89,41.33,53.07,51.83,33.02,64,32.34,2179,79.41,47.93,11.56,71.08,18.09,1.96,10.79,46.84,36.79,57.7,53.95,56.11,64.83,33.27,11.78,46.31,58.74,10,93.4,23.62,46.32,45.87,70,12.34,1,57.28,1.64,88.77,67.18,55.33,62.76,73.56,52.85,5.29,0.29,1.49,5.6,5.83,10.7,9.58,3.05,17.52,24.02,18.16
Mumbai Suburban,Maharashtra,89.91,935,70.8,73.69,74.24,72.43,40.88,67.84,20.45,69.47,31.98,50,70.68,44.84,48.47,44.56,64.05,47.3,35.42,69.76,55.67,1361,75.87,36.22,30.66,82.08,14.5,3.27,7.68,25.52,51.74,53.64,35.04,39.02,41.6,56.23,10.28,52.6,70.8,49.26,62.57,18.73,22.91,28.85,70,15.29,7.59,57.11,7.43,46.76,45.77,54.25,50.81,54.97,48.14,2.08,1.36,12.33,3.32,11.81,17.59,8.81,12.72,20.97,18.7,17.81
South Twenty Four Parganas,West Bengal,77.51,948,55.68,72.54,70.92,53.66,51.34,89.11,33.17,63.24,40.51,50,54.18,55,65.88,48.38,38.4,45.92,26.92,65.17,24.16,2454,63.32,35.47,13.32,71.94,26.25,25.76,10.81,54.49,46.76,53.02,38.1,55.99,56.02,48.9,9.08,25.49,42.72,76.76,40.72,31.64,70,27.63,61.71,18.84,11.61,39.12,0.9,67.4,62.42,43.83,57.67,67.07,55,7.79,2.7,9.17,0,3.3,12.67,4.1,16.33,20.47,19.92,11.91
Barddhaman,West Bengal,76.21,962,55.41,81.25,55.92,71.9,24.67,74.03,52.17,65.32,67.42,50,55.51,55,50.69,62.26,35.15,55.11,48.39,58.59,59.18,932,54.53,23.16,24.81,69.36,39.89,16.97,20.17,32.26,21.97,29.06,16.9,91.82,65.04,27.32,6.46,21.45,53.72,61.93,66.17,13.14,49.87,36.12,62.67,11.72,4.54,57.06,2.54,52.48,83.65,45.97,65.1,68.2,50.02,9.07,5.1,10.45,15.84,4.24,2.7,8.61,0.05,14.66,6.44,15.99
Ahmadabad,Gujarat,85.31,882,67.54,75.25,70.75,61.96,71.97,71.88,21.07,51.29,55.95,50,62.67,49.63,57.15,63.83,66.41,39.14,14.82,40.18,59.4,1555,71.97,51.62,12.76,69.31,35.86,18.53,9.33,59.38,44.2,52.83,46.78,84.7,63.92,30.77,7.54,53.99,43.92,28.39,76.47,35.42,33.81,19.16,67.15,18.79,6.25,55.46,0.66,59.18,15.81,36.74,26.08,15.33,53.34,5.99,4.31,6.51,3.91,4.94,7.84,12.25,12.6,18.38,14.87,12.43
Murshidabad,West Bengal,66.59,896,47.02,54,36.76,43.15,21.51,79.79,15.13,44.51,49.79,50,50.65,55,34.63,50.83,30.43,45.46,17.61,36.04,28.84,2093,52.06,41.62,27.67,51.75,29.38,11.81,6.63,74.81,38.49,38.43,31.49,17.99,43.58,59.79,5.74,56.26,62.19,58.07,89.43,19.77,27.45,33.89,65.5,21.38,9.72,60,3.87,50.29,63.89,58.08,63.84,60.8,55,1.06,0.26,4.34,3.23,4.49,8.47,16.45,12.43,16.24,11.97,12.84
Jaipur,Rajasthan,75.51,980,58.55,63.39,72.85,36.74,43.6,87.25,5,56.52,60.77,50,34.6,55,44.17,41.56,51.8,43.15,20.58,51.28,53.24,200,66.13,41.94,15.78,84.46,29.23,17.63,14.48,53.51,42.59,53.17,48.43,42.6,85.24,14.4,2.74,42.65,38.58,61.94,50.06,2,22.23,28.38,65.93,25.23,15.32,60,8.6,90.13,74.79,28.27,56.13,63.27,45.58,0,8.04,1.69,13.49,8.49,9.18,6.54,7.51,16.6,10.97,14.78
Nashik,Maharashtra,82.31,957,47.8,66.45,52.89,54.99,56.26,99,59.42,70.59,65.29,50,54.6,55,40.1,45.45,68.61,70.41,36.63,59.09,50.72,2892,60.82,45.9,5.22,69.65,26.32,14.93,13.19,36.7,43.8,32.91,33.58,76.86,17.12,80,8.14,46.39,55.88,58.69,38.83,19.54,53.26,31.93,65.56,9.03,5.02,60,6.69,62.9,31.65,51.34,43.56,43.38,44.78,2.4,1.77,2.59,2.31,0,6.33,11.96,17.56,16.41,24.09,8.07
Surat,Gujarat,85.53,943,71.28,71.48,85.63,56.51,37.76,87.93,34.1,87.69,48.38,34.04,45.03,53.6,56.37,55.47,68.06,45.17,31.31,68.49,39.21,352,74.12,41.98,16.77,71.41,17.53,8.99,1.36,47.59,32.39,64.33,34.43,57.57,57.5,44.29,12.43,36.94,69.08,47.67,72.45,24.31,32.95,18.8,48.63,13.97,6.23,45.93,4.69,68.38,44.19,39.86,45.06,48.33,55,10.22,5.32,2.16,1.19,3.64,6.18,18.7,18.67,12.2,7.46,14.56
Allahabad,Uttar Pradesh,72.32,951,59.25,62.49,58.71,60.23,51.18,91.92,95,54.65,70,50,63.41,47.3,38.45,41.83,45.36,49.5,26.33,51.06,19.12,2803,57.96,37.99,42.01,55.76,10.63,16.19,1.6,35.27,26.95,65.69,60.07,57.64,45.42,47.91,2.84,37.53,35.58,70.39,71.99,31.63,9.86,18.68,70,23.71,8.31,49.81,1.79,48.92,49.09,78.12,62.95,70.63,55,9.85,1.16,7.21,6.18,9.99,17.73,13.75,23.88,17.79,13.89,11.52
Paschim Medinipur,West Bengal,78,964,55.33,60.36,63.58,59.22,23.36,71.93,25.11,50.04,35.96,43.45,53.99,50.94,45.57,57.47,39.81,44.18,14.13,55.11,50.6,1036,56.31,40.77,41.48,68.26,17.79,5.57,12.98,5,26.36,56.49,49.97,26.63,65.28,35.03,13.59,41.97,56.05,75.61,43.83,30.24,6.03,5.01,53.96,7.14,1,50.43,2.66,43.77,44.04,58.43,51.61,54.91,55,2.82,11.45,8.74,5.02,3.51,2.32,6.15,12.83,11.36,21.26,7.6
Patna,Bihar,70.68,928,64.6,63.72,54.66,37.68,59.19,65.69,26.57,58.3,64.53,50,47.54,55,40.8,52.37,56.04,23.68,21.34,51.85,32.88,1836,49.46,27.16,25.84,61.66,22.22,13.93,9.42,23.22,45.52,59.86,41.94,43.09,80.3,22.37,12.87,32.49,36.88,52.22,60.06,9.51,31.57,21.51,59.59,19.85,8.01,60,5.23,58.34,42.91,49.99,50.91,50.02,50.6,5.06,7.98,1.26,4.44,7.79,7.38,10.51,20.75,25.73,17.95,5.49
Hugli,West Bengal,81.8,919,75.73,79.94,65.29,58.98,44.29,78.75,33.69,75.1,62.59,50,66.23,55,44.77,56.18,71.59,39.65,9.71,54.71,62.22,2667,60.11,33.63,18.36,69.4,3.46,3.94,4.36,17.87,43.6,53.84,43.18,30.84,36.67,64.5,9.59,55.55,75.09,82.35,60.73,26.47,31.88,20.88,59.9,19.22,7.81,48.05,4.5,72.82,49.38,32.3,42.42,44.5,55,8.79,1.68,13.51,3.33,6.81,14.11,10.92,8.08,11.52,14.46,14.26
Rangareddy,Andhra Pradesh,75.87,958,45.83,61.93,78.5,59.82,31.58,79.29,49.86,60.35,63.39,50,57.33,55,76.99,15.21,47.69,53.5,23.53,53.98,45.69,4178,62.84,42.03,23.65,67.54,16.47,5.8,1.13,22.82,41.11,38.07,27.56,24.93,95,5,9.62,38.99,30.23,52.19,77.35,18.59,17.16,18.99,69.58,3,1,54.55,3.17,63.18,67.78,28.18,47.25,50.04,55,5.45,4.27,9.71,6.25,4.78,8.21,13.19,10.77,17.67,10.67,10.25
